player_id,full_name,status,position,team
5655,Ryan Neal,Active,CB,SEA
8087,K.J. Costello,Active,QB,LAC
3041,Ross Travis,Active,TE,ARI
5649,Jeremy Reaves,Practice Squad,SS,WAS
7723,Elerson Smith,Active,LB,NYG
3234,Carl Nassib,Active,DE,LV
4846,Taybor Pepper,Active,LS,SF
4666,Younghoe Koo,Active,K,ATL
5626,Bunmi Rotimi,Active,DE,WAS
5901,Tytus Howard,Active,OT,HOU
6852,Trey Adams,Active,OT,BUF
1900,Joel Bitonio,Active,OG,CLE
6872,Kyle Dugger,Active,DB,NE
7980,John Raine,Active,FB,ATL
1352,Robert Woods,Active,WR,LAR
6949,Jordyn Brooks,Active,LB,SEA
4077,Jamal Adams,Active,SS,SEA
6918,Salvon Ahmed,Active,RB,MIA
5982,Marquise Blair,Active,DB,SEA
2029,T.J. Carrie,Active,CB,IND
5533,Trenton Thompson,Active,DT,CLE
5532,Daniel Ekuale,Active,DT,JAX
1550,Ryan Griffin,Active,QB,TB
5967,Tony Pollard,Active,RB,DAL
49,Robbie Gould,Active,K,SF
4458,Zach Franklin,Injured Reserve,CB,SF
7776,Israel Mukuamu,Active,CB,DAL
3335,Drew Kaser,Active,P,SF
5308,Duplicate Player,Inactive,DE,LAR
7168,Zane Lewis,Active,CB,NYJ
5037,Breeland Speaks,Active,DE,NYG
7163,Jake Benzinger,Active,OT,IND
6637,Nico Evans,Active,RB,PHI
4455,Matt Breida,Active,RB,BUF
5376,Jack Cichy,Active,LB,TB
6111,Jake Browning,Active,QB,MIN
7961,Jose Borregales,Active,K,TB
7119,Kenny Robinson,Active,DB,CAR
2655,Nick Dzubnar,Active,LB,TEN
6510,Jalen Dalton,Active,DT,NO
6197,Durval Queiroz Neto,Active,DT,MIA
7715,Camryn Bynum,Active,CB,MIN
6289,Duke Shelley,Active,CB,CHI
7890,Javon McKinley,Active,WR,DET
3286,Demarcus Robinson,Active,WR,KC
6906,Antonio Gandy-Golden,Active,WR,WAS
6328,Kyron Brown,Active,CB,DAL
4330,JoJo Natson,Active,WR,CLE
5042,Deadrin Senat,Active,DT,ATL
6034,Donnie Lewis,Active,CB,CIN
5065,Brandon Parker,Active,OT,LV
1844,Tyler Ott,Active,LS,SEA
6152,Khari Willis,Active,DB,IND
7100,Derrick Dillon,Active,WR,NYG
5158,Dennis Gardeck,Active,LB,ARI
7514,Michael Pinckney,Active,LB,NE
7915,Landen Akers,Active,WR,LAR
6584,Deyon Sizer,Active,DT,DEN
2339,Donovan Smith,Active,OT,TB
7559,Ihmir Smith-Marsette,Active,WR,MIN
7432,Chris Miller,Active,DB,WAS
8068,C.J. Saunders,Active,WR,CAR
4890,Ben Turk,Active,P,NYJ
6657,Freedom Akinmoladun,Active,DE,CIN
5183,Olasunkanmi Adeniyi,Active,LB,TEN
7324,Jessie Lemonier,Active,DE,LAC
8060,Cam Murray,Active,OL,ARI
7868,Mason Stokke,Active,FB,CAR
7992,Matt Bushman,Active,TE,LV
4371,Josh Tupou,Active,DT,CIN
2084,Devon Kennard,Active,LB,ARI
8025,Adam Prentice,Active,FB,DEN
4665,Eli Jenkins,Active,QB,LAC
